動詞,,意味カテゴリ,主語,述語補足,ヲ格（対格）,タイプ,必須？,ニ格（与格）,タイプ,必須？,例文,例文補足,その他格助詞,メモ,シノニム,アントニム
許可する,きょかする,,"本書 [1]

際 [3]",,"
シフトアップ [2]
クリープトルク低減 [3]","

",T,"

",,F,"[1] 本書は、システム部署または、システム部署から許可された者のみ編集可能とすること。
[2] 登坂路が終わる、または車速が十分に上がったら、シフトアップを許可する
[3] ACCで停止した際のみ、クリープトルク低減を許可する","

","ニ,カラ,カラ [1]
ニ [2]
ニ [3]",,,
アップする,あっぷする,,,,,,F,,,F,登坂路でシフトダウンしたら、すぐにシフトアップせずにそのままのギア段で走行する,,"ニ,カラ",,,
想定する,そうていする,,"



",,"リジューム操作/アクセル操作方向に倒すといったこと [1]
操作 [2]
制御モードを表示するといったこと [3]
ドライバへの対処方法の表示を行うこと [4]
クルーズシステム用以外の表示に切り替えるといったこと [5]","



",T,"



",,F,"[1] 発進操作として、例えば、クルーズSWをリジューム操作/アクセル操作方向に倒すといったことを想定している。
[2] 車間距離設定操作としては、例えば、車間距離設定スイッチを押下するといった操作を想定している。
[3] マルチインフォメーションディスプレイなどの表示デバイスに制御モードを表示するといったことを想定している。
[4] この要求を受けたメータでは、例えば、「ミリ波レーダー汚れ」という原因と　「清掃が必要です」といったドライバへの対処方法の表示を行うことを想定している。
[5] 表示のOFFとは、マルチインフォメーションディスプレイをクルーズシステム用以外の表示に切り替えるといったことを想定している。","



","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,デ,カラ [4]
ニ,カラ [5]",,,
等しくなる,ひとしくなる,,,,,,,,,,センサによって自車の進行方向に先行車を検出しなければ、車速をセット車速に等しくするため加減速を行う,,ニ,,,
ずれる,ずれる,,"位置 [1]
軸 [2]",自動詞,"
","
",F,"
",,F,"[1] センサは自車正面方向にセンシングを行っており、屈曲した道路では自車正面と先行車の位置がずれるため、(現状においては)センサの制約上、補正する必要がある。
[2] クルーズSWによって、ミリ波レーダーの軸がずれておらず正常に認識できているか確認できること","
","ニ,デ,カラ [1]
ニ,カラ [2]",,,
安定する,あんていする,,"挙動 [1]
",,"
","
",F,"
",,F,"[1] 車両の挙動が安定しない場所では、利用できないようにすること
[2] 従って、前車が、半径Rminのカーブに沿って、定常速度Vcircleで走行するならば、ACCシステムは、安定した車間時間ギャップTmax(Vcircle)で前車に本車を追随させることができること。","
","ニ,カラ [1]
カラ [2]",,,
維持する,いじする,,"
システム [2]

システム [4]
先行車 [5]







クルーズシステム [13]",,"速度 [1]
速度 [2]
速度 [3]
車間距離 [4]
車間距離 [5]
速度 [6]
車間距離 [7]
車速,自車 [8]
車速,自車 [9]
制動力 [10]
制動 [11]
制動力 [12]
制動力 [13]","











",T,"











",,ー,"[1] アクセルペダルを踏み続けることなく環境に合わせて速度を維持するシステム。
[2] Cruise　Control　System.先行車の認識はせず、セットした速度を維持するシステム。
[3] Adaptive　Cruise　Control.先行車の認識をすることで、セットした速度を維持するとともに、自車よりも遅い先行車がいる場合には、先行車との車間距離を適切に維持するシステム。
[4] Adaptive　Cruise　Control.先行車の認識をすることで、セットした速度を維持するとともに、自車よりも遅い先行車がいる場合には、先行車との車間距離を適切に維持するシステム。
[5] ACCにおいて、セットした速度よりも遅い先行車がいる場合には、先行車との車間距離を適切に維持するモード。
[6] ACCにおいて、先行車を認識せず、セットした速度を維持するのみのモード。
[7] 　本システムは、高速道路・自動車専用道路において、アクセルペダルを踏み続けることなく速度・前方の車両との車間距離を維持することで、運転者の疲労低減並びに同乗者の快適性向上への寄与を目的としたシステムである。
[8] 制御中、降坂路走行時に自車がセット車速と同じ車速を維持できない場合、登降坂路を走行するのに適切なギア段を決定し、トランスミッションにそのギア段へのシフトダウンを要求する。
[9] 制御中、降坂路走行時に自車がセット車速と同じ車速を維持できないと判定した場合、シフトダウンを要求する状況であると判定する。
[10] 制御開始時点で自車が停止している時、ユーザの代わりに制動力を維持すること。
[11] 停止保持制御実施中にキャンセルになった場合、ユーザ自身がブレーキを踏むまでは制動を維持すること。
[12] ACCによる制動中に、走行条件やデバイス作動条件によりキャンセルした場合、制動力を維持する。
[13] 追従制御による制動中に、システム異常・センサーの異常・走行条件によりクルーズシステムがキャンセルした場合は、制動力を維持する。","











","ニ,カラ [1]
ニ,カラ [2]
ニ,デ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]
ニ,カラ [7]
ニ,カラ [8]
ニ,カラ [9]
ニ,カラ [10]
ニ,カラ [11]
ニ,カラ [12]
ニ,カラ [13]",,,
禁止する,きんしする,,"




",,"プラス演算 [1]
クリープトルク低減 [2]
作動 [3]
作動 [4]
利用 [5]
利用 [6]","




",,"




",,,"[1] エンジン停止中は、F/Bのプラス演算を禁止する
[2] ACCで走行中はクリープトルク低減を禁止する。
[3] VSC　OFF状態であればクルーズシステムの作動を禁止する。
[4] TRC　OFF状態であればクルーズシステムの作動を禁止する。
[5] クルーズシステムが故障した場合は、ダイアグ通知し、クルーズシステムの利用を禁止する
[6] センサ汚れによりクルーズシステムの利用を禁止した場合、汚れが無くなった時点で即座にクルーズシステムを利用できるようにする","




","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]",,,
告知する,こくちする,,"
運転者 [2]
運転者 [3]",,"

","

",,"ドライバ [1]

",,T,"[1] クルーズシステムが支援限界のときには、ドライバに告知すること
[2] 次に掲げる場合には、運転者がただちに必要な操作が行えるよう音及び表示により告知すること。
[3] 次に掲げる場合には、運転者がただちに必要な操作が行えるよう音又は表示により告知すること。","

","カラ [1]
ニ [2]
ニ [3]",,,
選択する,せんたくする,,"
センサ情報 [2]
センサ情報 [3]



前車(図5参照) [7]
スイッチ [8]",,"
先行車 [2]
先行車 [3]
抜き時間 [4]
前車 [5]


非作動 [8]","






",T,"






",,F,"[1] センサで停止した車両を検出したとき、自車線で停止しているならば、先行車として選択する
[2] センサが検出した物標の中から、物標の位置や速度、道路形状、センサ情報の確からしさを元に、先行車を選択する。
[3] ACC-15CY-NA-FR-FR0006-T00を参照センサが検出した物標の中から、物標の位置や速度、道路形状、センサ情報の確からしさを元に、先行車を選択する。
[4] キャンセルした要因に関わらず、ブレーキの抜き時間を選択すること。
[5] 前方に複数台の車両が存在している場合、ACCシステムは自動的に本車線内の最も近い前車を選択し、それに追随すること(5.2.5.3を参照)。
[6] τminは定常状態で選択可能な最小車間時間で、全ての車速Vに対するACC制御に適用できる。
[7] 直線道路上で前方に複数台の車両が存在し、あるいは、カーブ上で本車のACCシステムがタイプⅡ、タイプⅢまたはタイプⅣのいずれかである場合、本車と同一車線上にある前車(図5参照)が、ACCシステム制御の目標車として選択されること。
[8] (1)装置は、運転者の意志により当該機能の作動・非作動を選択できるスイッチを有し、かつ、運転者の意志により当該装置が作動するようにスイッチを操作した場合にのみ作動するものであること。","






","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,デ,カラ [6]
ニ,カラ [7]
ニ,カラ [8]",,,
